ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
KLAC,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,76.2,52.1,100.0,1433.26,1580.38,10.26,2.963,28,18,0.3583,7,0.5253,0.4463,15.18,4.19,12.22,1030867.0,1851865471.0,1869.19,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 10.3% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
MELI,0.0,ILLIQUID,,,N/A,,,,,,,,,,,,,,,,,488915.0,873415401.0,1632.52,2025-11-14,2026-05-08,,,"Liquidity below threshold (vol=488915, dv=873415401)"
CRWD,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,69.5,56.7,100.0,435.76,458.38,5.19,4.068,19,23,0.2083,4,0.5996,0.3636,17.92,3.95,13.57,2862660.0,1292561676.0,527.77,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,4 rotations (adequate); width 5.2% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
CDNS,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,66.7,62.6,100.0,264.98,326.02,23.04,1.601,8,26,0.8417,2,0.507,0.2917,19.97,3.23,17.14,2640905.0,866667509.0,362.7,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,Only 2 rotations (weak); width 23.0% (too wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
SNPS,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,79.9,43.8,100.0,408.17,448.91,9.98,2.659,18,20,0.3583,9,0.5105,0.2667,27.5,3.18,16.89,1748748.0,829650253.0,516.48,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 10.0% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
MAR,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,79.3,60.5,100.0,313.0,331.27,5.84,2.199,29,25,0.4083,7,0.5776,0.4167,14.41,2.64,5.53,1414537.0,513129828.0,353.18,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 5.8% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
ORLY,88.03,EXCELLENT_RANGE,17.6,MID_RANGE,LOW,85.1,84.9,97.5,90.49,94.69,4.65,0.588,39,48,0.575,8,0.5398,0.3231,16.02,2.59,1.77,5104260.0,481039547.0,92.96,2025-11-14,2026-05-08,,8 rotations (strong); width 4.7% (good); strong reactions; price mid-range (wait for edge); entry not ideal (18),
CTAS,55.0,WATCHLIST,86.4,NEAR_SUPPORT,LOW,48.7,85.2,77.6,165.53,186.76,12.82,0.068,9,25,0.4833,1,0.5912,0.2727,15.54,2.43,-2.7,1911691.0,332326398.0,166.97,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 12.8% (wide); strong reactions; price near support; entry quality strong (86),
CEG,65.0,WATCHLIST,55.1,UPPER_HALF,LOW,68.5,62.2,100.0,277.35,311.23,12.21,0.776,21,20,0.3833,6,0.4928,0.3977,14.13,4.39,5.11,2655022.0,803683541.0,303.63,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,6 rotations (strong); width 12.2% (wide); strong reactions,
PYPL,55.0,TRENDING_NOT_RANGE,16.5,MID_RANGE,LOW,77.7,48.6,100.0,43.85,46.46,5.97,0.582,24,27,0.2583,6,0.5364,0.4,23.75,3.58,6.04,14244462.0,696359606.0,45.37,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,6 rotations (strong); width 6.0% (good); EMA slope 6.0% (directional); strong reactions; price mid-range (wait for edge); entry not ideal (16); stale (recent containment 15%),
